wiki,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly flow messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,project name,wiki name
Northern Sami Wikipedia,346,"13,476",14.3%,3.8%,0.0%,929,15,3,2,2.0%,0,25.0%,416,4.6%,14.5%,4.1%,26.9%,0.9%,0.94,0,"7,407","35,826",5,left-to-right,sewiki,wikipedia,se,https://se.wikipedia.org,Northern Sami,Wikipedia,Northern Sami Wikipedia
Tibetan Wikipedia,347,"23,854",36.0%,17.8%,0.9%,"1,745",14,2,2,17.0%,0,9.5%,139,11.0%,9.6%,9.9%,23.1%,1.1%,0.87,0,"5,818","27,605",5,left-to-right,bowiki,wikipedia,bo,https://bo.wikipedia.org,Tibetan,Wikipedia,Tibetan Wikipedia
Malayalam Wikisource,348,"26,627",79.0%,53.7%,0.0%,"1,630",16,1,1,9.6%,0,12.5%,170,0.4%,3.1%,1.0%,5.3%,1.1%,0.74,0,"18,784","90,407",5,left-to-right,mlwikisource,wikisource,ml,https://ml.wikisource.org,Malayalam,Wikisource,Malayalam Wikisource
Mirandese Wikipedia,349,"12,077",24.9%,5.6%,0.1%,923,13,3,2,1.0%,0,0.0%,340,1.5%,2.6%,1.4%,8.8%,0.7%,0.93,0,"3,622","18,094",5,left-to-right,mwlwiki,wikipedia,mwl,https://mwl.wikipedia.org,Mirandese,Wikipedia,Mirandese Wikipedia
Arabic Wikinews,350,"9,588",67.3%,56.9%,0.0%,209,46,4,2,50.0%,1,0.9%,922,72.6%,15.3%,1.0%,13.0%,3.5%,0.93,0,"7,446","17,317",2,right-to-left,arwikinews,wikinews,ar,https://ar.wikinews.org,Arabic,Wikinews,Arabic Wikinews
Sanskrit Wikisource,351,"8,929",66.5%,27.9%,0.0%,354,25,4,1,10.9%,0,30.3%,"3,010",0.3%,0.1%,0.2%,3.3%,0.2%,0.90,0,"12,881","122,355",9,left-to-right,sawikisource,wikisource,sa,https://sa.wikisource.org,Sanskrit,Wikisource,Sanskrit Wikisource
Telugu Wikisource,352,"8,227",67.6%,46.3%,0.0%,514,16,4,1,11.1%,0,9.1%,"2,665",10.7%,0.1%,0.1%,0.2%,0.4%,0.89,0,"13,072","180,821",14,left-to-right,tewikisource,wikisource,te,https://te.wikisource.org,Telugu,Wikisource,Telugu Wikisource
Tagalog Wiktionary,353,"58,472",59.2%,53.3%,0.0%,"15,254",4,1,1,9.7%,0,0.0%,51,45.7%,32.1%,1.3%,41.9%,3.0%,0.83,0,"15,387","40,213",3,left-to-right,tlwiktionary,wiktionary,tl,https://tl.wiktionary.org,Tagalog,Wiktionary,Tagalog Wiktionary
Corsican Wikipedia,354,"14,331",21.9%,6.3%,0.6%,839,17,2,3,9.4%,0,0.0%,188,1.6%,5.7%,5.0%,60.6%,4.0%,0.88,0,"5,555","58,572",11,left-to-right,cowiki,wikipedia,co,https://co.wikipedia.org,Corsican,Wikipedia,Corsican Wikipedia
Kannada Wikisource,355,"8,713",77.7%,28.8%,0.0%,164,53,4,1,7.6%,0,14.3%,"4,070",24.4%,8.8%,0.1%,1.6%,1.2%,0.96,0,"6,858","94,742",14,left-to-right,knwikisource,wikisource,kn,https://kn.wikisource.org,Kannada,Wikisource,Kannada Wikisource
Gilaki Wikipedia,356,"16,270",49.3%,18.3%,0.3%,"1,655",10,2,2,27.9%,1,0.0%,100,4.7%,28.0%,7.1%,10.5%,9.4%,0.85,0,"5,654","19,493",3,right-to-left,glkwiki,wikipedia,glk,https://glk.wikipedia.org,Gilaki,Wikipedia,Gilaki Wikipedia
Dutch Wikinews,357,"5,564",25.2%,7.8%,0.0%,270,21,6,0,0.8%,1,0.0%,"3,282",19.2%,0.0%,1.1%,1.7%,0.0%,0.00,0,"3,286",0,0,left-to-right,nlwikinews,wikinews,nl,https://nl.wikinews.org,Dutch,Wikinews,Dutch Wikinews
Oromo Wikipedia,358,"24,198",71.7%,52.5%,0.3%,"2,994",8,1,3,22.6%,0,6.3%,97,1.7%,25.6%,13.2%,31.6%,3.4%,0.85,0,771,"7,093",9,left-to-right,omwiki,wikipedia,om,https://om.wikipedia.org,Oromo,Wikipedia,Oromo Wikipedia
Esperanto Wiktionary,359,"5,366",25.9%,10.5%,0.0%,346,16,6,1,1.1%,0,0.0%,"1,097",69.6%,0.7%,0.4%,0.8%,0.5%,0.94,0,"97,433","147,572",2,left-to-right,eowiktionary,wiktionary,eo,https://eo.wiktionary.org,Esperanto,Wiktionary,Esperanto Wiktionary
Papiamento Wikipedia,360,"19,260",33.4%,14.2%,0.1%,"1,778",11,2,2,7.6%,0,66.7%,113,2.9%,15.3%,11.7%,33.7%,6.9%,0.85,0,"1,931","16,198",8,left-to-right,papwiki,wikipedia,pap,https://pap.wikipedia.org,Papiamento,Wikipedia,Papiamento Wikipedia
Slovak Wikiquote,361,"24,015",41.5%,32.3%,0.0%,"5,056",5,1,1,10.7%,0,0.0%,35,82.5%,6.4%,2.2%,26.7%,16.7%,0.81,0,"4,538","50,664",11,left-to-right,skwikiquote,wikiquote,sk,https://sk.wikiquote.org,Slovak,Wikiquote,Slovak Wikiquote
Xhosa Wikipedia,362,"12,732",41.3%,12.4%,0.1%,986,13,3,2,6.6%,1,6.7%,156,1.3%,3.8%,3.1%,10.0%,0.9%,0.87,0,738,"5,760",8,left-to-right,xhwiki,wikipedia,xh,https://xh.wikipedia.org,Xhosa,Wikipedia,Xhosa Wikipedia
Arpitan Wikipedia,363,"11,176",26.5%,6.5%,0.1%,900,12,3,2,7.0%,0,100.0%,368,1.5%,1.7%,0.5%,7.7%,2.5%,0.93,0,"3,079","21,550",7,left-to-right,frpwiki,wikipedia,frp,https://frp.wikipedia.org,Arpitan,Wikipedia,Arpitan Wikipedia
Ido Wiktionary,364,"6,886",39.3%,9.8%,0.0%,636,11,5,2,0.0%,0,0.0%,"3,298",53.5%,0.0%,0.0%,0.2%,0.1%,0.97,0,"282,989","1,110,516",4,left-to-right,iowiktionary,wiktionary,io,https://io.wiktionary.org,Ido,Wiktionary,Ido Wiktionary
Northern Luri Wikipedia,365,"7,360",15.9%,4.6%,0.1%,701,11,4,1,14.6%,0,25.0%,"1,354",0.3%,0.4%,0.3%,0.3%,0.9%,0.94,0,"5,361","75,634",14,right-to-left,lrcwiki,wikipedia,lrc,https://lrc.wikipedia.org,Northern Luri,Wikipedia,Northern Luri Wikipedia
Lezghian Wikipedia,366,"11,436",23.3%,5.2%,0.1%,"1,009",11,3,2,7.9%,0,0.0%,139,15.2%,4.9%,1.8%,10.8%,4.5%,0.88,0,"3,948","36,332",9,left-to-right,lezwiki,wikipedia,lez,https://lez.wikipedia.org,Lezghian,Wikipedia,Lezghian Wikipedia
Hindi Wikiquote,367,"27,579",86.5%,81.0%,0.0%,"4,298",6,1,1,17.0%,0,33.3%,110,1.0%,3.7%,0.8%,5.7%,5.2%,0.87,0,193,"3,551",18,left-to-right,hiwikiquote,wikiquote,hi,https://hi.wikiquote.org,Hindi,Wikiquote,Hindi Wikiquote
Lower Sorbian Wikipedia,368,"13,990",23.9%,5.6%,0.1%,839,17,2,2,4.0%,0,100.0%,208,1.7%,0.7%,1.4%,9.0%,2.0%,0.91,0,"3,179","22,120",7,left-to-right,dsbwiki,wikipedia,dsb,https://dsb.wikipedia.org,Lower Sorbian,Wikipedia,Lower Sorbian Wikipedia
Aymara Wikipedia,369,"12,457",27.4%,8.5%,0.1%,854,15,2,2,7.9%,0,12.1%,116,5.0%,3.1%,8.4%,7.9%,1.4%,0.84,0,"4,371","13,346",3,left-to-right,aywiki,wikipedia,ay,https://ay.wikipedia.org,Aymara,Wikipedia,Aymara Wikipedia
Kalmyk Wikipedia,370,"8,377",9.6%,2.6%,0.0%,558,15,3,2,1.4%,2,1.9%,352,4.3%,0.2%,0.2%,15.3%,48.4%,0.87,0,"2,037","11,177",5,left-to-right,xalwiki,wikipedia,xal,https://xal.wikipedia.org,Kalmyk,Wikipedia,Kalmyk Wikipedia
Banjar Wikipedia,371,"17,867",46.7%,11.4%,0.1%,"1,299",14,2,1,7.9%,0,0.0%,191,1.1%,3.1%,1.0%,3.2%,1.8%,0.90,0,"1,835","9,331",5,left-to-right,bjnwiki,wikipedia,bjn,https://bjn.wikipedia.org,Banjar,Wikipedia,Banjar Wikipedia
Livvi-Karelian Wikipedia,372,"5,632",11.2%,2.8%,0.0%,457,12,5,0,1.4%,1,0.0%,273,5.9%,0.2%,1.5%,4.9%,0.0%,0.00,0,"2,625",0,0,left-to-right,olowiki,wikipedia,olo,https://olo.wikipedia.org,Livvi-Karelian,Wikipedia,Livvi-Karelian Wikipedia
Tetum Wikipedia,373,"9,678",26.0%,7.3%,0.0%,976,10,3,2,3.7%,1,0.0%,152,5.5%,0.8%,5.3%,2.5%,0.9%,0.88,0,"1,427","8,955",6,left-to-right,tetwiki,wikipedia,tet,https://tet.wikipedia.org,Tetum,Wikipedia,Tetum Wikipedia
Swedish Wikiquote,374,"28,178",57.3%,37.9%,0.0%,"2,348",12,1,2,1.8%,0,1.6%,50,2.6%,4.8%,1.2%,39.9%,8.8%,0.74,0,561,"12,618",22,left-to-right,svwikiquote,wikiquote,sv,https://sv.wikiquote.org,Swedish,Wikiquote,Swedish Wikiquote
Afrikaans Wiktionary,375,"12,397",57.2%,36.2%,0.0%,"1,444",9,2,2,0.0%,0,0.0%,"4,953",0.9%,0.1%,0.0%,0.1%,0.2%,0.97,0,"20,355","105,463",5,left-to-right,afwiktionary,wiktionary,af,https://af.wiktionary.org,Afrikaans,Wiktionary,Afrikaans Wiktionary
Finnish Wikiversity,376,"3,677",29.5%,15.5%,0.0%,177,21,7,0,1.7%,2,23.8%,274,0.2%,2.1%,1.3%,30.2%,2.0%,0.74,0,626,"37,772",60,left-to-right,fiwikiversity,wikiversity,fi,https://fi.wikiversity.org,Finnish,Wikiversity,Finnish Wikiversity
Slovenian Wikiversity,377,"3,660",29.7%,16.8%,0.0%,110,33,7,1,6.3%,2,57.6%,479,0.1%,3.5%,1.3%,11.7%,1.8%,0.73,0,569,"23,132",41,left-to-right,slwikiversity,wikiversity,sl,https://sl.wikiversity.org,Slovenian,Wikiversity,Slovenian Wikiversity
Kinyarwanda Wikipedia,378,"21,356",60.4%,39.3%,0.1%,"3,125",7,1,1,5.6%,1,20.0%,40,3.2%,11.0%,15.3%,27.3%,6.8%,0.77,0,"1,823","10,853",6,left-to-right,rwwiki,wikipedia,rw,https://rw.wikipedia.org,Kinyarwanda,Wikipedia,Kinyarwanda Wikipedia
Croatian Wikisource,379,"36,060",63.1%,61.1%,0.0%,"8,322",4,1,1,6.7%,0,0.0%,35,1.2%,7.7%,3.9%,46.8%,9.6%,0.76,0,"6,269","34,903",6,left-to-right,hrwikisource,wikisource,hr,https://hr.wikisource.org,Croatian,Wikisource,Croatian Wikisource
Newari Wikipedia,380,"22,164",40.6%,9.5%,0.4%,"1,797",12,1,1,9.7%,0,16.7%,59,16.9%,9.2%,17.1%,20.4%,5.9%,0.76,0,"72,151","42,304",1,left-to-right,newwiki,wikipedia,new,https://new.wikipedia.org,Newari,Wikipedia,Newari Wikipedia
Azerbaijani Wiktionary,381,"12,227",59.6%,29.9%,0.0%,"1,193",10,2,1,8.8%,0,21.1%,"1,079",15.9%,0.5%,0.1%,2.7%,2.0%,0.94,0,"55,463","144,845",3,left-to-right,azwiktionary,wiktionary,az,https://az.wiktionary.org,Azerbaijani,Wiktionary,Azerbaijani Wiktionary
Zeelandic Wikipedia,382,"11,448",20.0%,4.4%,0.1%,"1,041",11,2,2,6.8%,0,100.0%,218,1.3%,1.1%,2.7%,7.5%,18.1%,0.93,0,"4,415","30,054",7,left-to-right,zeawiki,wikipedia,zea,https://zea.wikipedia.org,Zeelandic,Wikipedia,Zeelandic Wikipedia
Võro Wikipedia,383,"10,917",11.6%,2.9%,0.0%,"1,170",9,2,1,3.0%,0,0.0%,117,3.6%,1.9%,4.4%,16.6%,4.1%,0.88,0,"5,443","27,707",5,left-to-right,fiu_vrowiki,wikipedia,fiu-vro,https://fiu-vro.wikipedia.org,Võro,Wikipedia,Võro Wikipedia
Catalan Wikibooks,384,"13,161",40.1%,26.5%,0.0%,"1,144",12,2,2,1.0%,0,5.3%,65,2.6%,3.8%,15.5%,30.1%,6.3%,0.76,0,"2,043","32,622",16,left-to-right,cawikibooks,wikibooks,ca,https://ca.wikibooks.org,Catalan,Wikibooks,Catalan Wikibooks
Galician Wiktionary,385,"8,734",54.8%,19.8%,0.0%,962,9,3,1,6.3%,0,0.0%,847,24.4%,0.5%,0.1%,0.3%,0.4%,0.96,0,"53,185","194,825",4,left-to-right,glwiktionary,wiktionary,gl,https://gl.wiktionary.org,Galician,Wiktionary,Galician Wiktionary
Vietnamese Wikivoyage,386,"23,505",57.4%,41.2%,0.0%,"3,358",7,1,1,1.9%,0,0.0%,60,6.9%,9.8%,11.3%,13.7%,7.7%,0.84,0,"1,618","18,654",12,left-to-right,viwikivoyage,wikivoyage,vi,https://vi.wikivoyage.org,Vietnamese,Wikivoyage,Vietnamese Wikivoyage
Saterland Frisian Wikipedia,387,"14,305",19.9%,5.3%,0.0%,"1,431",10,2,1,3.9%,0,100.0%,223,4.0%,0.5%,0.6%,4.2%,1.0%,0.93,0,"3,952","34,192",9,left-to-right,stqwiki,wikipedia,stq,https://stq.wikipedia.org,Saterland Frisian,Wikipedia,Saterland Frisian Wikipedia
Friulian Wikipedia,388,"12,244",18.4%,4.9%,0.1%,"1,157",11,2,1,4.2%,0,66.7%,150,1.5%,5.3%,5.1%,5.5%,1.7%,0.88,0,"3,264","23,341",7,left-to-right,furwiki,wikipedia,fur,https://fur.wikipedia.org,Friulian,Wikipedia,Friulian Wikipedia
Ukrainian Wikibooks,389,"17,025",35.7%,26.3%,0.0%,"2,197",8,1,1,7.0%,0,0.0%,170,0.2%,2.0%,2.1%,43.8%,17.0%,0.90,0,497,"11,376",23,left-to-right,ukwikibooks,wikibooks,uk,https://uk.wikibooks.org,Ukrainian,Wikibooks,Ukrainian Wikibooks
Abkhazian Wikipedia,390,"9,795",15.0%,4.9%,1.4%,758,13,2,2,5.3%,0,0.0%,"1,207",1.8%,3.8%,0.2%,1.0%,2.2%,0.98,0,"3,410","15,045",4,left-to-right,abwiki,wikipedia,ab,https://ab.wikipedia.org,Abkhazian,Wikipedia,Abkhazian Wikipedia
Kannada Wiktionary,391,"14,027",72.1%,55.8%,0.0%,"2,275",6,2,0,21.8%,0,0.0%,113,3.6%,15.7%,2.2%,16.8%,0.9%,0.89,0,"263,915","345,620",1,left-to-right,knwiktionary,wiktionary,kn,https://kn.wiktionary.org,Kannada,Wiktionary,Kannada Wiktionary
Malayalam Wiktionary,392,"18,032",75.0%,53.4%,0.0%,"2,278",8,1,1,33.3%,0,0.0%,78,10.4%,14.1%,1.3%,14.8%,4.7%,0.86,0,"129,807","33,677",0,left-to-right,mlwiktionary,wiktionary,ml,https://ml.wiktionary.org,Malayalam,Wiktionary,Malayalam Wiktionary
Norfuk-Pitkern Wikipedia,393,"9,941",32.6%,9.4%,0.1%,"1,326",8,2,1,14.6%,0,50.0%,137,2.2%,39.2%,14.5%,4.9%,3.5%,0.83,0,639,"5,063",8,left-to-right,pihwiki,wikipedia,pih,https://pih.wikipedia.org,Norfuk-Pitkern,Wikipedia,Norfuk-Pitkern Wikipedia
Church Slavic Wikipedia,394,"8,294",16.4%,4.9%,0.4%,672,12,2,2,6.7%,1,20.0%,141,5.6%,10.4%,10.4%,31.8%,15.0%,0.82,0,657,"12,535",19,left-to-right,cuwiki,wikipedia,cu,https://cu.wikipedia.org,Church Slavic,Wikipedia,Church Slavic Wikipedia
Polish Wikinews,395,"9,512",43.1%,9.3%,0.0%,544,18,2,3,2.3%,0,0.0%,70,58.7%,1.7%,2.0%,9.3%,3.9%,0.72,0,"11,642","72,326",6,left-to-right,plwikinews,wikinews,pl,https://pl.wikinews.org,Polish,Wikinews,Polish Wikinews
Udmurt Wikipedia,396,"11,316",17.5%,4.2%,0.0%,"1,281",9,2,1,1.4%,0,0.0%,342,2.3%,0.2%,2.2%,5.5%,2.0%,0.95,0,"4,445","21,300",5,left-to-right,udmwiki,wikipedia,udm,https://udm.wikipedia.org,Udmurt,Wikipedia,Udmurt Wikipedia
Kabiye Wikipedia,397,"3,029",9.9%,2.3%,0.0%,235,13,7,0,7.9%,1,0.0%,472,0.2%,4.3%,18.5%,2.9%,0.0%,0.00,0,"1,454",0,0,left-to-right,kbpwiki,wikipedia,kbp,https://kbp.wikipedia.org,Kabiye,Wikipedia,Kabiye Wikipedia
Tarantino Wikipedia,398,"11,215",13.9%,3.9%,0.1%,"1,223",9,2,1,10.5%,0,50.0%,77,3.1%,4.0%,1.1%,5.7%,1.8%,0.86,0,"9,239","35,127",4,left-to-right,roa_tarawiki,wikipedia,roa-tara,https://roa-tara.wikipedia.org,Tarantino,Wikipedia,Tarantino Wikipedia
Kashubian Wikipedia,399,"12,940",14.4%,4.3%,0.1%,"1,294",10,2,2,3.9%,0,100.0%,105,13.4%,1.2%,2.8%,47.7%,4.7%,0.87,0,"5,246","28,200",5,left-to-right,csbwiki,wikipedia,csb,https://csb.wikipedia.org,Kashubian,Wikipedia,Kashubian Wikipedia
Chavacano Wikipedia,400,"9,700",14.6%,5.9%,0.1%,882,11,2,2,8.4%,0,20.0%,211,0.9%,15.4%,1.7%,58.9%,2.0%,0.91,0,"2,990","12,817",4,left-to-right,cbk_zamwiki,wikipedia,cbk-zam,https://cbk-zam.wikipedia.org,Chavacano,Wikipedia,Chavacano Wikipedia
Jamaican Creole English Wikipedia,401,"9,105",21.1%,5.1%,0.1%,888,10,2,2,9.7%,1,0.0%,68,3.1%,20.9%,3.6%,21.2%,5.9%,0.76,0,"1,627","13,502",8,left-to-right,jamwiki,wikipedia,jam,https://jam.wikipedia.org,Jamaican Creole English,Wikipedia,Jamaican Creole English Wikipedia
Manx Wikipedia,402,"14,145",17.1%,3.6%,0.0%,"1,139",12,1,2,5.3%,0,50.0%,50,46.8%,4.8%,2.3%,19.4%,3.0%,0.75,0,"4,965","33,314",7,left-to-right,gvwiki,wikipedia,gv,https://gv.wikipedia.org,Manx,Wikipedia,Manx Wikipedia
Komi Wikipedia,403,"10,169",14.8%,2.9%,0.0%,"1,090",9,2,1,3.0%,0,33.3%,204,52.3%,0.3%,0.9%,3.0%,0.7%,0.93,0,"5,286","25,434",5,left-to-right,kvwiki,wikipedia,kv,https://kv.wikipedia.org,Komi,Wikipedia,Komi Wikipedia
Colognian Wikipedia,404,"22,338",35.3%,11.0%,0.5%,"3,081",7,1,1,3.4%,0,0.0%,35,25.0%,10.2%,6.9%,20.1%,10.4%,0.76,0,"2,837","33,326",12,left-to-right,kshwiki,wikipedia,ksh,https://ksh.wikipedia.org,Colognian,Wikipedia,Colognian Wikipedia
Novial Wikipedia,405,"12,208",25.2%,6.4%,0.0%,"1,409",9,2,2,3.0%,0,33.3%,78,2.3%,1.6%,30.6%,10.3%,10.0%,0.85,0,"1,657","11,795",7,left-to-right,novwiki,wikipedia,nov,https://nov.wikipedia.org,Novial,Wikipedia,Novial Wikipedia
Doteli Wikipedia,406,"5,225",17.5%,3.6%,0.7%,389,13,4,0,9.3%,0,0.0%,"1,007",6.3%,2.9%,0.6%,6.0%,0.0%,0.00,0,"2,874",0,0,left-to-right,dtywiki,wikipedia,dty,https://dty.wikipedia.org,Doteli,Wikipedia,Doteli Wikipedia
Hawaiian Wikipedia,407,"8,555",15.3%,4.2%,0.1%,917,9,2,2,5.9%,1,30.8%,258,1.3%,2.6%,0.6%,5.2%,1.5%,0.92,0,"2,466","9,037",4,left-to-right,hawwiki,wikipedia,haw,https://haw.wikipedia.org,Hawaiian,Wikipedia,Hawaiian Wikipedia
Pangasinan Wikipedia,408,"12,813",35.9%,11.8%,0.0%,"2,166",6,1,1,4.9%,0,16.7%,59,2.2%,3.4%,4.1%,14.1%,4.9%,0.82,0,"2,558","15,445",6,left-to-right,pagwiki,wikipedia,pag,https://pag.wikipedia.org,Pangasinan,Wikipedia,Pangasinan Wikipedia
Maori Wikipedia,409,"11,337",14.4%,4.3%,0.1%,"1,046",11,2,2,8.1%,0,25.0%,46,14.0%,7.3%,7.1%,22.5%,5.3%,0.73,0,"7,141","18,590",3,left-to-right,miwiki,wikipedia,mi,https://mi.wikipedia.org,Maori,Wikipedia,Maori Wikipedia
Russia Buriat Wikipedia,410,"10,698",13.2%,3.6%,0.1%,"1,146",9,2,1,6.5%,0,100.0%,241,3.3%,1.0%,0.2%,4.1%,3.6%,0.94,0,"2,092","18,954",9,left-to-right,bxrwiki,wikipedia,bxr,https://bxr.wikipedia.org,Russia Buriat,Wikipedia,Russia Buriat Wikipedia
Lithuanian Wikiquote,411,"13,547",41.3%,29.3%,0.0%,"3,965",3,1,1,0.0%,0,100.0%,185,0.8%,0.7%,0.3%,2.3%,2.4%,0.93,0,"2,549","44,008",17,left-to-right,ltwikiquote,wikiquote,lt,https://lt.wikiquote.org,Lithuanian,Wikiquote,Lithuanian Wikiquote
Cornish Wikipedia,412,"13,350",22.7%,5.8%,0.2%,"1,187",11,1,1,5.2%,0,33.3%,81,29.5%,2.8%,9.1%,8.9%,2.4%,0.81,0,"3,809","22,477",6,left-to-right,kwwiki,wikipedia,kw,https://kw.wikipedia.org,Cornish,Wikipedia,Cornish Wikipedia
Uyghur Wikipedia,413,"12,486",15.6%,9.0%,0.2%,"1,683",7,1,1,4.6%,0,20.0%,111,1.8%,1.5%,16.3%,7.8%,2.1%,0.89,0,"4,072","22,713",6,right-to-left,ugwiki,wikipedia,ug,https://ug.wikipedia.org,Uyghur,Wikipedia,Uyghur Wikipedia
Palatine German Wikipedia,414,"13,204",28.0%,9.5%,0.3%,"1,415",9,1,2,3.4%,0,0.0%,539,1.1%,0.1%,0.5%,0.8%,0.2%,0.96,0,"2,097","22,176",11,left-to-right,pflwiki,wikipedia,pfl,https://pfl.wikipedia.org,Palatine German,Wikipedia,Palatine German Wikipedia
Georgian Wiktionary,415,"12,369",42.8%,31.4%,0.0%,"2,394",5,1,1,13.5%,0,0.0%,75,32.6%,8.1%,0.9%,10.2%,2.7%,0.88,0,"8,194","23,789",3,left-to-right,kawiktionary,wiktionary,ka,https://ka.wiktionary.org,Georgian,Wiktionary,Georgian Wiktionary
Danish Wikisource,416,"9,817",37.7%,18.4%,0.0%,"1,732",6,2,1,0.0%,0,0.0%,543,0.1%,0.1%,0.2%,0.7%,0.7%,0.95,0,"2,795","34,775",12,left-to-right,dawikisource,wikisource,da,https://da.wikisource.org,Danish,Wikisource,Danish Wikisource
Croatian Wikibooks,417,"19,420",59.1%,52.6%,0.0%,"8,323",2,1,1,20.0%,0,0.0%,32,14.8%,5.4%,1.8%,11.7%,11.9%,0.83,0,974,"6,835",7,left-to-right,hrwikibooks,wikibooks,hr,https://hr.wikibooks.org,Croatian,Wikibooks,Croatian Wikibooks
Tswana Wikipedia,418,"12,796",48.5%,21.3%,0.1%,"2,047",6,1,1,20.0%,0,12.5%,36,4.0%,13.8%,5.6%,6.8%,2.1%,0.69,0,641,"3,450",5,left-to-right,tnwiki,wikipedia,tn,https://tn.wikipedia.org,Tswana,Wikipedia,Tswana Wikipedia
Indonesian Wikiquote,419,"47,956",84.4%,75.2%,0.0%,"6,255",8,0,2,9.1%,0,0.0%,51,1.3%,19.2%,0.8%,63.2%,19.4%,0.82,0,"1,669","10,868",7,left-to-right,idwikiquote,wikiquote,id,https://id.wikiquote.org,Indonesian,Wikiquote,Indonesian Wikiquote
Bangla Wiktionary,420,"8,196",75.0%,55.1%,0.0%,"1,004",8,2,1,30.0%,0,0.0%,227,91.0%,6.7%,0.3%,3.7%,3.1%,0.90,0,"10,925","11,045",1,left-to-right,bnwiktionary,wiktionary,bn,https://bn.wiktionary.org,Bangla,Wiktionary,Bangla Wiktionary
Lingala Wikipedia,421,"13,007",23.8%,6.1%,0.1%,"1,445",9,1,2,6.3%,0,0.0%,78,5.3%,11.0%,2.0%,21.9%,3.7%,0.85,0,"3,023","19,063",6,left-to-right,lnwiki,wikipedia,ln,https://ln.wikipedia.org,Lingala,Wikipedia,Lingala Wikipedia
Malay Wiktionary,422,"11,306",64.4%,47.6%,0.0%,"1,911",6,1,1,7.0%,0,0.0%,70,30.3%,6.3%,0.6%,12.4%,6.2%,0.83,0,"3,640","32,348",9,left-to-right,mswiktionary,wiktionary,ms,https://ms.wiktionary.org,Malay,Wiktionary,Malay Wiktionary
Slovenian Wikiquote,423,"7,824",30.0%,20.0%,0.0%,"2,407",3,2,1,0.0%,0,0.0%,73,0.9%,0.8%,0.5%,2.1%,0.6%,0.86,0,"2,222","13,779",6,left-to-right,slwikiquote,wikiquote,sl,https://sl.wikiquote.org,Slovenian,Wikiquote,Slovenian Wikiquote
Avaric Wikipedia,424,"10,186",17.9%,4.0%,6.0%,"1,036",10,1,2,3.9%,0,50.0%,127,3.5%,1.3%,10.4%,18.2%,9.4%,0.89,0,"2,305","11,398",5,left-to-right,avwiki,wikipedia,av,https://av.wikipedia.org,Avaric,Wikipedia,Avaric Wikipedia
Icelandic Wikibooks,425,"5,219",36.2%,24.9%,0.0%,549,10,3,0,0.0%,2,3.3%,135,1.1%,0.8%,1.5%,9.1%,2.7%,0.75,0,474,"18,273",39,left-to-right,iswikibooks,wikibooks,is,https://is.wikibooks.org,Icelandic,Wikibooks,Icelandic Wikibooks
Albanian Wiktionary,426,"33,467",69.0%,52.1%,0.0%,"9,127",4,0,1,23.7%,0,0.0%,92,12.8%,8.8%,1.4%,74.9%,1.8%,0.91,0,"7,527","81,175",11,left-to-right,sqwiktionary,wiktionary,sq,https://sq.wiktionary.org,Albanian,Wiktionary,Albanian Wiktionary
Walloon Wiktionary,427,"4,344",42.2%,14.9%,0.0%,724,6,3,2,0.0%,0,0.0%,"2,467",12.5%,0.0%,0.0%,0.4%,0.6%,0.94,20,"22,942","121,093",5,left-to-right,wawiktionary,wiktionary,wa,https://wa.wiktionary.org,Walloon,Wiktionary,Walloon Wiktionary
Slovak Wikibooks,428,"10,285",57.7%,54.1%,0.0%,"3,010",3,1,1,5.0%,0,0.0%,37,48.8%,4.5%,4.7%,22.1%,5.1%,0.77,0,509,"7,068",14,left-to-right,skwikibooks,wikibooks,sk,https://sk.wikibooks.org,Slovak,Wikibooks,Slovak Wikibooks
Extremaduran Wikipedia,429,"12,734",22.1%,5.5%,0.1%,"1,039",12,1,2,7.4%,0,0.0%,53,6.3%,7.4%,8.7%,41.8%,13.8%,0.74,0,"2,927","29,070",10,left-to-right,extwiki,wikipedia,ext,https://ext.wikipedia.org,Extremaduran,Wikipedia,Extremaduran Wikipedia
Greek Wikiversity,430,"25,444",51.7%,45.5%,0.0%,"5,761",4,1,1,9.1%,0,0.0%,40,1.4%,8.6%,4.6%,31.2%,10.7%,0.82,0,381,"6,518",17,left-to-right,elwikiversity,wikiversity,el,https://el.wikiversity.org,Greek,Wikiversity,Greek Wikiversity
Bulgarian Wikisource,431,"8,954",43.6%,31.5%,0.0%,"1,327",7,1,2,2.0%,0,0.0%,127,0.3%,4.6%,1.3%,45.7%,36.3%,0.87,0,"2,129","8,116",4,left-to-right,bgwikisource,wikisource,bg,https://bg.wikisource.org,Bulgarian,Wikisource,Bulgarian Wikisource
